kanji,meanings,radical,components,complexity
簇,group; crowd; swarm,竹,竹 方 矢 𠂉,17
簓,bamboo whisk; (kokuji),竹,口 十 竹 冂 彡 𠂉,17
篳,fence,竹,｜ 一 竹 田 日 𠂉,17
篷,woven rush awning,竹,辶 竹 夂 𠂉,17
簗,weir; fish trap; (kokuji),竹,氵 竹 刀 木 丶 𠂉,17
簍,bamboo basket,竹,｜ 一 口 女 竹 𠂉,17
篶,black bamboo; slender bamboo,竹,一 止 竹 鳥 灬 𠂉,17
簣,earth-carrying basket,竹,｜ 一 貝 目 ハ 口 竹 𠂉,18
簧,flute reed,竹,黄 竹 田 ハ 𠂉,18
簪,ornamental hairpin,竹,竹 日 无 𠂉,20
簟,a type of bamboo; round bamboo lunchbox,竹,十 西 竹 日 曰 𠂉,18
簷,eaves,竹,言 竹 儿 厂 𠂉,19
簫,pan pipes; flute,竹,｜ ノ ヨ 水 竹 隶 聿 𠂉,19
簽,label; signature,竹,口 人 竹 𠆢 一 𠂉,19
籌,plan,竹,口 工 士 寸 竹 𠂉,20
籃,basket,竹,皿 臣 竹 二 𠂉,21
籔,thicket; bush; underbrush; grove,竹,女 竹 米 攵 𠂉,21
籏,flag; banner,竹,甘 竹 ハ 方 𠂉,20
籀,a style of calligraphy,竹,竹 田 刀 厶 扌 𠂉,19
籐,rattan; cane,竹,月 人 水 大 竹 二 丷 𠂉,21
籘,climbing plants; vines; cane,竹,月 糸 幺 小 人 大 竹 二 丷 𠂉,22
籟,rattling of the wind,竹,｜ 貝 目 口 竹 ハ 頁 木 𠂉,22
籤,lottery; raffle,竹,竹 戈 韭 人 𠂉,23
籖,lottery; raffle,竹,竹 土 戈 韭 𠂉,21
籥,three-holed flute,竹,｜ 一 口 竹 𠆢 冊 龠 廾 𠂉,23
籬,rough-woven fence; bamboo hedge,竹,竹 亠 凵 禸 隹 𠂉,25
籵,dekametre; (kokuji),米,十 米,8
粃,empty grain husk,米,比 米,10
粐,rice-bran,米,戸 米 一 尸,10
粤,alas,米,一 米 囗 勹 釆,12
粭,chaff; rice hulls; (kokuji),米,口 米 𠆢 一,12
粢,millet; rice cakes,米,欠 米 冫,12
粫,nonglutinous grain,米,而 米,12
粡,unpolished rice,米,口 米 冂 一,12
粨,hectometre; (kokuji),米,米 一 白,12
粳,ordinary rice,米,ノ 米 一 田,13
粲,bright,米,米 卜 又 夕,13
粱,high quality rice,米,氵 刀 丷 米,13
粮,food; provisions,米,艮 米,13
粹,pure; unadulterated; select,米,十 人 米 亠,14
粽,rice dumplings steamed in bamboo leaves,米,示 二 小 米 宀,14
糀,malt; (kokuji),米,亻 米 匕 艹,13
糅,mix,米,米 矛 木 マ,15
糂,mixing rice into soup,米,甘 米 儿 匚,15
糘,chaff; rice hulls; (kokuji),米,米 宀 豕,16
糒,dried boiled rice,米,米 用 厂 艹,16
糜,be inflamed,米,米 木 广 麻,17
糢,rice snacks,米,大 日 米 艹,16
鬻,sell; deal in; rice gruel,鬲,一 弓 口 米 儿 冂 鬲,22
糯,glutinous rice,米,雨 而 米,20
糲,unpolished rice,米,田 米 厂 禸 艹,20
糴,sell (grain); auction,米,ヨ 入 米 隹,22
糶,auction,米,｜ ヨ 山 米 隹,25
糺,ask; investigate; verify; twist (rope),糸,乙 糸 幺 小,7
紆,crouch,糸,糸 幺 小 二 亅,9
紂,harness strap; window,糸,糸 幺 小 寸,9
紜,disorder; confusion,糸,糸 幺 小 二 厶,10
紕,braiding; decoration; error,糸,糸 幺 小 比,10
紊,disturb,糸,糸 幺 小 文,10
絅,thin silk,糸,口 糸 幺 小 冂,11
絋,cotton wadding,糸,糸 幺 小 厶 广,11
紮,tie up,糸,乙 糸 幺 小 木,11
紲,fetters,糸,糸 幺 小 世,11
紿,deceive,糸,口 糸 幺 小 厶,11
紵,flax; linen,糸,糸 幺 小 亅 宀,11
絆,bonds; fetters,糸,｜ 糸 幺 小 二 丷 十,11
絳,red,糸,糸 幺 小 二 夂,13
絖,white rice,糸,糸 幺 小 ⺌ 儿,12
絎,blindstitch,糸,行 糸 幺 小 彳,12
絲,thread,糸,糸 幺 小,12
絨,wool cloth,糸,ノ 一 糸 幺 小 戈,12
絮,cotton,糸,口 糸 幺 小 女,12
絏,tie,糸,ノ 糸 幺 小 日,12
絣,splashed pattern (on cloth),糸,｜ ノ 糸 幺 小 二 丷 廾 一,12
經,classic works; pass through,糸,工 糸 幺 小 巛,13
綉,embroidery,糸,乃 禾 糸 幺 小 ノ,13
絛,braid,糸,亻 糸 幺 小 夂 攵 𠂉 ｜,13
綏,peaceful; cheap; grab strap,糸,糸 幺 小 女 爪,13
絽,silk gauze,糸,口 糸 幺 小 ノ,13
綛,splashed dye pattern; reel; skein; (kokuji),糸,丶 糸 幺 小 心 刀,13
綺,figured cloth; beautiful,糸,口 糸 幺 小 大 亅 一,14
綮,emblem on banner,糸,戸 糸 幺 小 攵 一 尸 𠂉,14
綣,attachment; affection,糸,糸 幺 小 人 大 二 丷 已,14
綵,colorful,糸,糸 幺 小 爪 木,14
緇,black clothing; priest,糸,糸 幺 小 巛 田,14
綽,loose; lenient,糸,糸 幺 小 十 日 卜,14
綫,thread; line,糸,糸 幺 小 戈,14
總,collect; overall; altogether,糸,糸 幺 小 心 囗 夂,17
綢,be clothed in; tie; detailed; fine,糸,口 糸 幺 小 土 冂,14
綯,twist; make rope,糸,缶 糸 幺 小 凵 勹,14
緜,cotton,糸,ノ 巾 糸 幺 小 白,15
綸,thread; silk cloth,糸,｜ 一 糸 幺 小 𠆢 冊 廾,14
綟,yellowish green; coarse mesh linen,糸,戸 糸 幺 小 大 一 尸,13
綰,bend around,糸,｜ 口 糸 幺 小 宀,14
緘,shut; seal,糸,ノ 口 糸 幺 小 戈,15
緝,spin thread; bring together; shine,糸,口 糸 幺 小 耳,15
緤,leash,糸,糸 幺 小 木 世,15
緞,damask,糸,｜ 糸 幺 小 殳 几 又,15
緻,fine (i.e. not coarse),糸,糸 幺 小 至 土 厶 攵 一 𠂉,16
緲,faint; far off,糸,ノ 糸 幺 小 目,15
緡,paper string,糸,口 氏 糸 幺 小 日 尸,15
縅,the thread/braid (of armour); (kokuji),糸,ノ 糸 幺 小 女 戈,15
縊,strangle,糸,皿 糸 幺 小 丷,16
縣,county; district; subdivision,糸,糸 幺 小 目 一 ｜,16
縡,breath; life,糸,糸 幺 小 十 辛 立 宀,16
縒,twist,糸,王 工 糸 幺 小 丷 羊,16
縱,indulge in; give free reign to,糸,亻 糸 幺 小 人 走 土 彳,17
縟,decoration,糸,糸 幺 小 寸 辰 衣,16
縉,thin red cloth; high officer,糸,一 糸 幺 小 二 日 厶,16
縋,cling; hang on; depend,糸,｜ 口 辶 糸 幺 小,15
縢,cross-stitch; darn,糸,月 糸 幺 小 人 大 二 丷,16
繆,error; wrap around,糸,羽 糸 幺 小 𠆢 冫 彡,17
繦,string of coins; child's obi; nappy,糸,弓 糸 幺 小 虫 厶,17
縻,rope,糸,糸 幺 小 木 广 麻,17
縵,unpatterned silk; loose,糸,糸 幺 小 日 罒 又,17
縹,light blue,糸,糸 幺 小 示 二 西,17
繃,wrap,糸,月 山 糸 幺 小,17
縷,thread,糸,｜ 一 口 糸 幺 小 女,17
縲,tie,糸,糸 幺 小 田,17
縺,tangle; knot; fasten; fetter,糸,辶 糸 幺 小 車,17
繧,a method of dyeing,糸,雨 糸 幺 小 二 厶,18
繝,a method of dyeing,糸,糸 幺 小 日 門,18
繖,parasol; umbrella,糸,｜ 一 月 糸 幺 小 二 攵 𠂉,18
繞,surround; return,糸,糸 幺 小 土 儿,18
繙,peruse,糸,糸 幺 小 田 釆 米,18
繚,put on; twist around,糸,糸 幺 小 大 日 丷 亠,18
繹,pull out,糸,糸 幺 小 十 辛 土 罒 立 亠,19
繪,picture; drawing; painting; sketch,糸,糸 幺 小 日 罒 𠆢 一,19
繩,rope; cord,糸,糸 幺 小 黽,19
繼,succeed; inherit; patch; graft (tree),糸,｜ 糸 幺 小 匚,20
繻,satin,糸,雨 糸 幺 小 而,20
纃,splashed pattern dyeing or weaving; (kokuji),糸,糸 幺 小 齊 刀 氏 廾,20
緕,splashed pattern dyeing or weaving,糸,糸 幺 小 斉 文,14
繽,disorder; scattering,糸,ノ 貝 目 ハ 糸 幺 小 宀,20
辮,braid,糸,糸 幺 小 十 辛 立,20
繿,rags,糸,皿 糸 幺 小 臣 二 𠂉,21
纈,tie-dyeing; purblind,糸,貝 目 ハ 口 士 糸 幺 小 頁,21
纉,succeed to; inherit,糸,貝 目 ハ 糸 幺 小 人 大 二 亠,21
續,continue; carry on; succeed,糸,貝 目 ハ 士 糸 幺 小 儿 囗,21
纒,wear; wrap; tie; follow around; collect,糸,黒 糸 幺 小 土 里 厂 灬,22
纐,tie-dyeing; (kokuji),糸,貝 目 ハ 糸 幺 小 父 頁 亠,21
纓,crown string; breast harness,糸,貝 目 ハ 糸 幺 小 女,23
纔,a little,糸,糸 幺 小 比 儿 勹,23
纖,fine; slender; thin kimono,糸,糸 幺 小 人 戈 韭,23
纎,fine; delicate; minute; graceful,糸,糸 幺 小 土 戈 韭,21
纛,flag; banner,糸,糸 幺 小 土 二 母 目 亠 毋,25
纜,hawser,糸,見 糸 幺 小 臣 二 𠂉,28
缸,urn,缶,缶 工 凵,9
缺,lack; gap; fail,缶,ノ 缶 人 大 二 凵 ユ,10
罅,fissure; crack; hole,缶,缶 二 丷 卜 亅 凵 匕 厂 虍,17
罌,vase,缶,貝 目 ハ 缶 凵,20
罍,liquor jar,缶,缶 田 凵,21
罎,bottle; vial; jar,缶,雨 缶 二 日 凵 厶,22
罐,steam boiler (left side only),缶,缶 口 凵 艹 隹,23
网,net; net or net crown radical (no. 122),网,ノ 丶 冂,6
罕,bird-catching net; rare,网,干 儿 冖,7
罔,net,网,亡 一 丷 冂 亠,8
罘,rabbit catching net,网,｜ ノ 一 罒 丶,9
罟,net,网,口 士 罒,10
罠,trap; snare,网,口 氏 罒 尸,10
罨,cover,网,乙 大 日 罒 奄,13
罩,fish basket kept in water,网,十 日 罒 卜,13
罧,luring fish with a bonfire,网,罒 木,13
罸,punishment; penalty,网,言 寸 罒,15
羂,trap; snare,网,月 口 糸 幺 小 罒,18
羆,brown bear,网,月 罒 厶 匕 灬,19
羃,power; exponent,网,巾 大 日 罒 艹,18
羈,reins; connection,网,革 馬 罒 灬,24
羇,reins,网,革 口 大 罒 亅 凵,22
羌,barbarian,羊,王 丷 羊 儿,8
羔,lamb,羊,王 丷 羊 灬,10
羞,feel ashamed,羊,ノ ヨ 王 丷 羊,11
羝,male sheep; ram,羊,王 氏 丷 羊,11
羚,antelope,羊,王 丷 羊 𠆢 卩 一,11
羣,group; crowd; multitude; mob,羊,ノ ヨ 王 口 丷 羊,13
羯,barbarian,羊,王 日 丷 羊 勹 匕,15
羲,used in proper names,羊,王 禾 丷 羊 戈,16
羹,hot soup,羊,王 大 丷 羊 灬,19
羮,hot soup,羊,王 人 大 丷 羊 灬 二,15
羶,smelling like a sheep,羊,王 口 日 丷 羊 亠 囗 一,19
羸,thin; weak,羊,王 亡 月 口 丷 羊 丶 几,19
譱,virtuous; good; goodness,言,王 言 丷 羊,20
翅,(insect) wings; fly; merely,羽,羽 支 冫 又 十,10
翆,color green; kingfisher,羽,羽 九 十 冫,10
翊,flying; assist; help; respect,羽,羽 立 冫,11
翕,gather,羽,羽 口 𠆢 冫 一,12
翔,soar; fly,羽,羽 丷 羊 冫,12
翡,kingfisher,羽,羽 非 冫,14
翦,scissors; cut; clip; annihilate,羽,一 羽 刂 月 丷 冫,15
翩,fluttering of flag,羽,｜ 一 羽 戸 冊 冫 尸 廾,15
翳,hold aloft,羽,羽 矢 冫 匚 殳 几 又 𠂉,17
翹,excellence,羽,羽 土 儿 冫,18
飜,flip over; upset; capsize,飛,田 釆 飛 米,21
耆,senility,老,日 耂 匕,10
耄,senility,老,毛 耂 匕,10
耋,old; elderly,老,至 土 耂 厶 匕,12
耒,come; plough; three-branch tree radical (no. 127),耒,｜ 木 耒 ノ ハ,6
耘,weed,耒,｜ 二 ハ 木 厶 耒 ノ,10
耙,forked hoe,耒,｜ ハ 木 巴 耒 ノ,10
耜,plough,耒,｜ 口 木 耒 ノ ハ,11
耡,plough; spade,耒,｜ ハ 木 目 力 耒 ノ,13
耨,hoe,耒,｜ 寸 辰 ハ 木 耒 ノ 衣,16
耿,light,耳,火 耳,10
耻,shame; humiliation; ashamed,耳,止 耳,10
聊,slightly,耳,耳 卩,11
聆,listening; realizing,耳,耳 𠆢 卩 一,11
聒,noisy,耳,口 耳 舌,12
聘,invite,耳,｜ 耳 日 一 勹,13
聚,assemble,耳,耳 又 冫,14
聟,son-in-law,耳,口 耳 矢 𠂉,14
聢,certainly; (kokuji),耳,耳 疋 宀,14
聨,party; gang; clique,耳,耳 幺 廾,15
聳,rise; tower,耳,耳 丷 疋 彳 人,17
聲,sound; voice; noise; tone; music,耳,士 耳 尸 殳 几 又,17
聰,wise; fast learner,耳,耳 心 囗 夂,17
聶,whisper,耳,耳,18
聹,noisy; earwax,耳,耳 心 罒 亅 宀 皿,20
聽,careful enquiry; headstrong,耳,王 耳 十 心 罒,22
聿,brush; finally; self; relate; follow; here; fast; writing brush radical (no. 129),聿,聿,6
肄,learn; striving; effort,聿,矢 匕 聿 𠂉,13
肆,four,聿,長 厶 聿,13
肅,quietly; softly; solemnly,聿,ヨ 片 爿 聿,13
肛,anus,肉,工 月,7
肓,interior region of the body too deep to be reached by acupuncture,肉,亡 月 亠,7
肚,belly; stomach,肉,土 月,7
肭,new moon,肉,人 月 冂,8
冐,risk; brave; dare; face; defy; (diseases) attack; damage; desecrate; assume (a name),冂,月 二 冂,8
肬,wart; tumor; goiter; papule,肉,月 丶 尤 尢,8
胛,shoulder blade,肉,｜ 月 日 田,9
胥,together; mutual; subordinate official,肉,月 疋,9
胙,offerings to gods,肉,｜ ノ 月,9
胝,chap; crack; callus,肉,月 氏,9
胄,lineage; bloodline,肉,｜ 月 日 田,9
胚,embryo,肉,｜ ノ 一 月 丶,9
胖,half a sacrifice; ribs; abundant; plentiful,肉,｜ 二 月 丷 十,9
脉,"vein (blood, ore); pulse; hope",肉,月 水 丶,9
胯,crotch,肉,月 大 二 勹,10
胱,bladder,肉,月 ⺌ 儿,10
脛,leg; shin,肉,月 工 巛,11
脩,dried meat,肉,亻 月 攵 𠂉 ｜,11
脣,lip,肉,月 辰 衣,11
脯,dried meat,肉,｜ 十 月 用 丶,11
腋,armpit; side,肉,亻 月 夕 亠,12
隋,name of a Chinese dynasty; remains of sacrifice; bury; fall; sag,阜,ノ 一 月 工 阝,12
腆,much; abundant; kind; considerate,肉,｜ 一 月 日 ハ 冂,12
脾,spleen,肉,月 十 田 ノ,12
腓,calf (of leg),肉,月 非,12
腑,viscera; bowels,肉,亻 月 寸 广,12
胼,callus; corn,肉,｜ ノ 月 二 丷 廾 一,10
腱,tendon,肉,月 廴 聿,13
腮,jaw,肉,月 心 田,13
腥,bloody; smelling of fish; raw smelling,肉,月 生 日,13
腦,brain; memory,肉,巛 月 囗,13
腴,fat; grease; growing fat,肉,月 人 日 臼,13
膃,fat; corpulent,肉,月 皿 日,14
膈,diaphragm,肉,口 月 儿 冂 鬲,14
膊,arm,肉,十 寸 田 月 日 丶,14
膀,bladder,肉,月 丷 方 立 亠 冖,14
膂,backbone,肉,衣 月 方 亠 𠂉,14
膠,glue; isinglass,肉,羽 月 𠆢 冫 彡,15
膕,hollow of knee,肉,口 月 囗 戈,15
膤,snow; (kokuji),肉,ヨ 雨 月,15
膣,vagina,肉,穴 至 土 月 儿 厶 宀,15
腟,vagina,肉,至 土 月 厶 宀,13
膓,guts; bowels; intestines; viscera,肉,ノ 月 日 勿 一 𠂉,15
膩,smooth; oily,肉,貝 目 ハ 二 月 弋,16
膰,offerings to gods,肉,田 月 釆 米,16
膵,pancreas; (kokuji),肉,十 人 月 亠 艹,15
膾,raw fish salad,肉,月 日 罒 𠆢 一,17
膸,marrow; pith,肉,ノ 一 月 工 辶,17
膽,gall bladder; bravery; courage,肉,言 月 儿 厂 勹,17
臀,buttocks; hips; butt; rear,肉,月 ハ 尸 殳 几 又,17
臂,elbow,肉,月 口 十 辛 立 尸,17
膺,breast; strike,肉,亻 月 广 隹,17
臉,area between eye and cheek; face,肉,口 人 月 𠆢 一,17
臍,navel,肉,月 齊 刀 氏 廾,18
臑,leg; shin,肉,雨 而 月,18
臙,rouge,肉,口 月 凵 匕 灬 爿,20
臘,12th lunar month,肉,臼 巛 鼠 月 囗,19
臈,year-end sacrifice; dried meat,肉,月 日 勹 匕 艹,16
臚,skin; tell; report,肉,皿 田 月 卜 匕 厂 虍,20
臟,viscera; bowels,肉,ノ 臣 月 戈 艹,22
臠,witness,肉,言 糸 幺 小 肉,25
臧,good; bribe; servant,臣,ノ 臣 冫 戈 疒,15
臺,stand; counter for vehicles,至,口 士 至 土 冖 厶,14
臻,arrive; reach; gather,至,ノ 禾 至 大 土 二 厶,16
臾,a little while; urging,臼,臼 人,9
舁,bear; carry,臼,臼 廾,9
舂,pound (mortar); sink; set (sun),臼,ノ 臼 大 二,11
舅,father-in-law,臼,臼 田 力,13
與,participate in; give; award; impart; provide; cause,臼,一 臼 ハ,13
舊,old things; old friend; old times; former; ex-,臼,臼 艹 隹,17
舍,inn; hut; house; mansion,舌,口 舌 𠆢,8
舐,lick; lap up; burn up; taste; undergo; underrate; despise,舌,口 氏 舌,10
舖,shop; store,舌,口 十 舌 用 𠆢 丶,15
舩,boat; ship; vessel,舟,舟 ハ 厶,10
舫,moor; berth,舟,舟 方,10
舸,large boat,舟,口 舟 亅,11
舳,bow; prow,舟,｜ 舟 日 田,11
艀,sampan; lighter; barge,舟,子 舟 爪,13
艙,hold (ship),舟,口 舟 𠆢 尸 一,16
艘,counter for small boats,舟,支 舟 日 又,16
艝,sled; sleigh; (kokuji),舟,ヨ 雨 舟,17
艚,boat,舟,｜ 一 舟 日,17
艟,fighting ship,舟,舟 里 立,18
艤,landing a boat,舟,王 舟 丷 羊 亅 戈,19
艢,bow; stern,舟,口 舟 人 土 囗,19
艨,fighting ship,舟,舟 冖 艹 豕,19
艪,oar; tower,舟,魚 舟 田 日 灬,21
艫,stern (of ship),舟,皿 舟 田 卜 匕 厂 虍,22
舮,bow or prow of boat,舟,戸 舟 一 尸,10
艱,difficult; trying; be distressed; parent's funeral ceremony; mourning; perilous,艮,艮 人 大 二 艹,17
艷,luster; glaze; polish; charm; colorful; captivating,色,口 山 色 豆 丷 凵,24
艸,grass; plants; grass radical (no. 140),艸,艹 屮,6
艾,moxa; sagebrush; wormwood; mugwort,艸,ノ 艹,5
芍,peony,艸,丶 勹 艹,6
芒,pampas grass; beard (grain),艸,亡 艹 亠,6
芫,type of vetch,艸,二 儿 艹 元,7
芟,cut; clip; trim; harvest; mow,艸,殳 艹 几 又,7
芻,grass cutting; hay,艸,勹 屮 艹,10
芬,perfume,艸,刀 ハ 艹,7
苡,adlay; plantain,艸,｜ 人 艹,8
苣,torch,艸,巨 艹,8
苟,any; at all; in the least,艸,口 勹 艹,8
苒,flourishing; luxuriant,艸,｜ 一 冂 艹 十,8
苴,husk; bract; straw wrapper; souvenir gift; bribe,艸,一 目 艹,8
苳,butterbur; bog rhubarb,艸,丶 夂 艹,8
苺,strawberry,艸,母 艹 毋,8
莓,wild strawberry,艸,一 母 艹 毋 𠂉,10
范,bee; law; casting mould,艸,氵 卩 艹,8
苻,kudzu-like plant,艸,亻 寸 艹,8
苹,duckweed; mugwort,艸,干 ハ 艹,8
苞,husk; bract; straw wrapper; souvenir gift; bribe,艸,勹 已 艹,8
茆,garden; farm; yard,艸,ノ 卩 艹,8
苜,clover; medic,艸,目 艹,8
茉,jasmine,艸,｜ 一 ハ 木 亠 艹,8
苙,type of herb; pigsty,艸,立 艹,8
茵,cushion; mattress,艸,大 囗 艹,9
茴,fennel,艸,口 囗 艹,9
茖,mountain leek; garlic,艸,口 夂 艹,9
茲,here,艸,幺 艹,9
茱,river ginger tree; oleaster,艸,｜ ノ 牛 二 ハ 木 亠 艹,9
荀,type of plant; proper name,艸,日 勹 艹,9
茹,boil; seethe,艸,口 女 艹,9
荐,mat; repeatedly,艸,ノ 一 子 艹,9
荅,adzuki beans; thick,艸,口 𠆢 艹 一,9
茯,type of mushroom,艸,亻 犬 艹,9
茫,wide; extensive,艸,亡 氵 艹,9
茗,tea,艸,口 夕 艹,9
茘,scallion; small onion,艸,刀 艹,9
莅,proceed to; assume a post,艸,亻 立 艹,10
莚,straw mat,艸,ノ 止 廴 艹,10
莪,type of thistle,艸,亅 戈 艹,10
莟,bud (plant),艸,口 𠆢 艹 一,10
莢,pod; hull; husk; shell; case,艸,人 大 艹,10
莖,stem; stalk,艸,一 工 巛 艹,10
茣,mat; matting,艸,一 口 ハ 艹,10
莎,sedge,艸,ノ 氵 小 艹,10
莇,Chinese matrimony vine; tilling public fields; corvee; surname,艸,目 力 艹,10
莊,broom,艸,士 爿 艹,10
荼,a weed,艸,小 二 ハ 𠆢 亅 艹 一,10
莵,dodder (plant),艸,鬼 儿 匕 艹,10
荳,bean; nutmeg,艸,口 豆 丷 艹,10
荵,hare's foot fern,艸,心 刀 丶 艹,10
莠,appears good but is bad; type of weed which resembles rice,艸,ノ 禾 艹,10
莉,jasmine,艸,禾 刂 艹,10
莨,tobacco,艸,艮 艹,10
菴,hermitage,艸,乙 大 日 艹 奄,11
萓,day lily,艸,一 目 宀 艹,11
菫,the violet,艸,｜ 一 口 土 二 艹,11
菎,a kind of fragrant herb,艸,日 比 艹,11
菽,beans,艸,小 卜 又 艹,11
萃,collect; gather; assemble,艸,十 人 亠 艹,11
菘,type of rape plant,艸,ハ 木 厶 艹,11
萋,luxuriant growth; beautiful,艸,｜ ヨ 女 艹,11
菁,turnip,艸,月 青 土 二 亠 艹,11
菷,broom,艸,ヨ 巾 冖 艹,11
萇,type of plant,艸,長 艹,11
菠,spinach,艸,氵 皮 又 艹,11
菲,thin; inferior,艸,非 艹,11
萍,floating plants,艸,干 氵 丷 艹,11
萢,bog; wetlands; used in proper names; (kokuji),艸,氵 勹 已 艹,11
萠,show symptoms of; sprout; bud; malt,艸,月 艹,11
莽,grass; grassy field,艸,大 廾 艹,9
萸,oleaster; river ginger tree,艸,人 日 艹 臼,12
蔆,water chestnut,艸,氵 土 儿 夂 艹,14
菻,kind of thistle,艸,木 艹,11
葭,reed,艸,｜ 又 艹,12
萪,type of wisteria,艸,禾 斗 艹,12
萼,calyx; cup,艸,口 二 艹 勹,12
蕚,calyx; cup,艸,口 二 艹 勹 品,16
蒄,type of plant,艸,寸 二 儿 冖 艹 元,12
葷,garlic,艸,車 冖 艹,12
葫,garlic,艸,月 口 十 艹,12
蒭,to cut grass; hay; fodder,艸,勹 屮 艹,13
葮,rose of Sharon; althea,艸,｜ 殳 艹 几 又,12
蒂,peduncle; stem of plants,艸,巾 丷 立 亠 冖 艹,12
葩,flower; petal,艸,白 巴 艹,12
葆,dense growth; keep; adhere to; conceal,艸,亻 口 木 艹,12
萬,"ten thousand; 10,000",艸,田 日 冂 禸 艹,12
葯,pollen pod at tip of stamen; type of tall grass,艸,糸 幺 小 丶 勹 艹,12
葹,cocklebur,艸,也 方 匕 艹 𠂉,12
萵,lettuce,艸,口 冂 艹,12
蓊,flower stalk; vigorous growth,艸,羽 ハ 冫 厶 艹,13
葢,cover; lid; flap,艸,皿 大 丶 艹,12
蒹,type of reed,艸,｜ ヨ 一 丷 艹,13
蒿,mugwort,艸,口 高 亠 冂 艹,13
蒟,devil's tongue (plant),艸,口 立 勹 艹,13
蓙,mat; matting; (kokuji),艸,人 土 广 艹,13
蓍,yarrow; sericea; stalks used for divination,艸,日 耂 艹 匕,13
蒻,a kind of water plant,艸,弓 冫 艹,13
蓚,(used only in compounds),艸,亻 彡 攵 艹 𠂉 ｜,13
蓐,bed,艸,寸 辰 艹 衣,13
蓁,dense growth; thicket,艸,禾 大 二 艹,13
蓆,straw mat; matting,艸,一 巾 凵 广 艹,13
蓖,castor-oil plant,艸,比 囗 艹 丶 ノ,13
蒡,burdock,艸,丷 方 立 亠 冖 艹,13
蔡,type of tortoise used for divination,艸,示 二 小 癶 艹,14
蓿,clover; medic,艸,亻 白 宀 艹,14
蓴,type of water plant,艸,一 寸 虫 日 艹 十 田,14
蔗,sugar cane,艸,一 凵 广 灬 艹,14
蔘,luxurious growth of grass,艸,大 厶 彡 艹,14
蔬,greens; vegetables,艸,止 川 亠 厶 艹 疋,15
蔟,gather together,艸,方 矢 艹 𠂉,14
蔕,calyx; stem,艸,一 巾 儿 冖 凵 艹,14
蔔,giant radish; daikon,艸,口 田 勹 艹,14
蓼,luxurious grass; a smartweed,艸,羽 𠆢 冫 彡 艹,14
蕀,milwort,艸,｜ ハ 木 冂 艹,15
蕣,rose of Sharon; althea,艸,舛 爪 夕 冖 艹,16
蕘,firewood,艸,一 土 儿 艹,15
蕈,mushroom; toadstool; fungus,艸,十 西 日 曰 艹,15
蕁,a kind of grass,艸,ヨ 口 工 寸 艹,15
蘂,pistil; stamen,艸,心 木 艹,19
蕋,pistil; stamen,艸,止 艹,15
蕕,foul-smelling grass,艸,酉 丷 犭 艹,15
薀,pile up; store; hornwort,艸,皿 氵 口 人 艹,16
薤,scallion; shallot,艸,歹 艹 韭,16
薈,luxuriant vegetation,艸,日 罒 𠆢 艹 一,16
薑,ginger,艸,一 田 二 艹,16
薊,thistle,艸,刂 魚 田 灬 艹,16
薨,die,艸,罒 夕 冖 匕 艹,16
